num,label,accurate
1,True,0.7727272727272727
2,True,0.6938775510204082
3,False,0.6739130434782609
4,True,0.6
5,False,0.7954545454545454
6,False,0.7857142857142857
7,False,0.7608695652173914
8,True,0.75
9,False,0.825
10,False,0.7741935483870968
11,False,0.8157894736842105
12,True,0.6829268292682927
13,False,0.9743589743589743
14,False,0.6756756756756757
15,False,0.7954545454545454
16,True,0.6666666666666666
17,True,0.6818181818181818
18,False,0.7027027027027027
19,True,0.7045454545454546
20,True,0.5909090909090909
21,False,0.7674418604651163
22,False,0.75
23,True,0.8
24,False,0.6842105263157895
25,True,0.75
26,False,0.813953488372093
27,False,0.6956521739130435
28,False,0.6956521739130435
29,True,0.8222222222222222
30,False,0.6486486486486487
31,True,0.775
32,False,0.7027027027027027
33,True,0.7551020408163265
34,True,0.7380952380952381
35,True,0.7272727272727273
36,True,0.725
37,True,0.717391304347826
38,True,0.7222222222222222
39,False,0.775
40,False,0.8372093023255814
41,True,0.6829268292682927
42,True,0.7222222222222222
43,True,0.8181818181818182
44,False,0.6904761904761905
45,False,0.7872340425531915
